#,Name,Edition,Edition #,Reference,Category,Notes,Release Date (if known)
44,Batman,1st Edition (hard),"1,440",DC Justice League,DC Comics,,
45,Superman,1st Edition (hard),"1,440",DC Justice League,DC Comics,,
46,Wonder Woman,"1st Edition (hard)
2nd Edition","732
618",DC Justice League,DC Comics,,
