#,Name,Edition,Edition #,Reference,Category,Notes,Release Date (if known)
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
48,Green Lantern,1st Edition (hard),732,DC Justice League,DC Comics,,
49,Aquaman,1st Edition (hard),732,DC Justice League,DC Comics,,
50,Cyborg,1st Edition (hard),732,DC Justice League,DC Comics,,
51,Randy,1st Edition (hard),"7,000",Holy Diver,Video Games,,
52,Ivy Valentine,1st Edition (soft),"101,000",Soul Caliber 6,Video Games,,
53,Ivy Valentine (RARE),"AP Edition (soft)
1st Edition (soft)","25
1,000",Soul Caliber 6,Video Games,Bandai Namco Exclusive (for pre-order of Soulcalibur VI),
54,Alexios,1st Edition,"10,000",Assassin's Creed ODYSSEY,Video Games,Target Exclusive,
55,Super Saiyan Rose Goku Black,"1st Edition (hard)
1st Edition (GameStop, soft)
1st Edition (Target, soft)
2nd Edition (hard)","360
3,224
6,048
504",Dragon Ball Super,Anime,,
